Datetime,Temperature (C),Humidity (%),Wind Speed (m/s),Weather
2024-06-09 09:00:00,28.54000000000002,89,3.63,light rain
2024-06-09 12:00:00,28.28000000000003,86,2.6,overcast clouds
2024-06-09 15:00:00,27.670000000000016,85,2.13,overcast clouds
2024-06-09 18:00:00,26.660000000000025,86,1.99,overcast clouds
2024-06-09 21:00:00,26.28000000000003,88,2.09,light rain
2024-06-10 00:00:00,27.58000000000004,82,1.99,light rain
2024-06-10 03:00:00,30.160000000000025,67,3.58,light rain
2024-06-10 06:00:00,30.480000000000018,68,4.09,light rain
2024-06-10 09:00:00,29.710000000000036,71,3.53,light rain
2024-06-10 12:00:00,28.100000000000023,80,2.67,broken clouds
2024-06-10 15:00:00,27.590000000000032,83,2.09,overcast clouds
2024-06-10 18:00:00,27.03000000000003,87,1.85,overcast clouds
2024-06-10 21:00:00,26.670000000000016,89,1.73,light rain
2024-06-11 00:00:00,27.860000000000014,81,1.73,light rain
2024-06-11 03:00:00,30.24000000000001,68,2.99,overcast clouds
2024-06-11 06:00:00,31.140000000000043,65,4.19,light rain
2024-06-11 09:00:00,29.850000000000023,70,4.34,light rain
2024-06-11 12:00:00,28.210000000000036,81,3.18,scattered clouds
2024-06-11 15:00:00,27.640000000000043,87,2.24,broken clouds
2024-06-11 18:00:00,27.220000000000027,89,1.32,light rain
2024-06-11 21:00:00,27.07000000000005,90,1.32,light rain
2024-06-12 00:00:00,28.400000000000034,83,2.46,light rain
2024-06-12 03:00:00,28.49000000000001,84,2.6,moderate rain
2024-06-12 06:00:00,28.57000000000005,85,2.79,light rain
2024-06-12 09:00:00,29.189999999999998,80,3.69,overcast clouds
2024-06-12 12:00:00,27.840000000000032,87,3.47,light rain
2024-06-12 15:00:00,27.49000000000001,91,3.25,overcast clouds
2024-06-12 18:00:00,27.120000000000005,93,3.1,light rain
2024-06-12 21:00:00,27.08000000000004,90,3.36,light rain
2024-06-13 00:00:00,28.379999999999995,83,4.16,light rain
2024-06-13 03:00:00,30.920000000000016,66,5.8,light rain
2024-06-13 06:00:00,31.30000000000001,66,6.47,overcast clouds
2024-06-13 09:00:00,30.180000000000007,73,5.98,broken clouds
2024-06-13 12:00:00,28.379999999999995,86,4.33,broken clouds
2024-06-13 15:00:00,27.939999999999998,90,3.9,light rain
2024-06-13 18:00:00,27.629999999999995,88,4.98,light rain
2024-06-13 21:00:00,27.54000000000002,89,4.88,light rain
2024-06-14 00:00:00,28.52000000000004,83,4.96,moderate rain
2024-06-14 03:00:00,29.78000000000003,76,5.58,light rain
2024-06-14 06:00:00,29.480000000000018,78,6.19,light rain
